name	type	description	samplingrate	lowpass	highpass	notch	softwarefilters	status
EEG009	EEG	eeg channel	1100	350	0	0	none	good
EEG010	EEG	eeg channel	1100	350	0	0	none	good
EEG011	EEG	eeg channel	1100	350	0	0	none	good
EEG012	EEG	eeg channel	1100	350	0	0	none	good
EEG013	EEG	eeg channel	1100	350	0	0	none	good
EEG014	EEG	eeg channel	1100	350	0	0	none	good
EEG015	EEG	eeg channel	1100	350	0	0	none	good
EEG016	EEG	eeg channel	1100	350	0	0	none	good
EEG017	EEG	eeg channel	1100	350	0	0	none	good
EEG018	EEG	eeg channel	1100	350	0	0	none	good
EEG019	EEG	eeg channel	1100	350	0	0	none	good
EEG020	EEG	eeg channel	1100	350	0	0	none	good
EEG021	EEG	eeg channel	1100	350	0	0	none	good
EEG022	EEG	eeg channel	1100	350	0	0	none	good
EEG023	EEG	eeg channel	1100	350	0	0	none	good
EEG024	EEG	eeg channel	1100	350	0	0	none	good
EEG025	EEG	eeg channel	1100	350	0	0	none	good
EEG026	EEG	eeg channel	1100	350	0	0	none	good
EEG027	EEG	eeg channel	1100	350	0	0	none	good
EEG028	EEG	eeg channel	1100	350	0	0	none	good
EEG029	EEG	eeg channel	1100	350	0	0	none	good
EEG030	EEG	eeg channel	1100	350	0	0	none	good
EEG031	EEG	eeg channel	1100	350	0	0	none	good
EEG032	EEG	eeg channel	1100	350	0	0	none	good
EEG033	EEG	eeg channel	1100	350	0	0	none	good
EEG034	EEG	eeg channel	1100	350	0	0	none	good
EEG035	EEG	eeg channel	1100	350	0	0	none	good
EEG036	EEG	eeg channel	1100	350	0	0	none	good
EEG037	EEG	eeg channel	1100	350	0	0	none	good
EEG038	EEG	eeg channel	1100	350	0	0	none	good
EEG039	EEG	eeg channel	1100	350	0	0	none	good
EEG040	EEG	eeg channel	1100	350	0	0	none	good
EEG041	EEG	eeg channel	1100	350	0	0	none	good
EEG042	EEG	eeg channel	1100	350	0	0	none	good
EEG043	EEG	eeg channel	1100	350	0	0	none	good
EEG044	EEG	eeg channel	1100	350	0	0	none	good
EEG045	EEG	eeg channel	1100	350	0	0	none	good
EEG046	EEG	eeg channel	1100	350	0	0	none	good
EEG047	EEG	eeg channel	1100	350	0	0	none	good
EEG048	EEG	eeg channel	1100	350	0	0	none	good
EEG049	EEG	eeg channel	1100	350	0	0	none	good
EEG050	EEG	eeg channel	1100	350	0	0	none	good
EEG051	EEG	eeg channel	1100	350	0	0	none	good
EEG052	EEG	eeg channel	1100	350	0	0	none	good
EEG053	EEG	eeg channel	1100	350	0	0	none	good
EEG054	EEG	eeg channel	1100	350	0	0	none	good
EEG055	EEG	eeg channel	1100	350	0	0	none	good
EEG056	EEG	eeg channel	1100	350	0	0	none	good
EEG057	EEG	eeg channel	1100	350	0	0	none	good
EEG058	EEG	eeg channel	1100	350	0	0	none	good
EEG059	EEG	eeg channel	1100	350	0	0	none	good
EEG060	EEG	eeg channel	1100	350	0	0	none	good
EEG061	HEOG	horizontal eog	1100	350	0	0	none	good
EEG062	VEOG	vertical eog	1100	350	0	0	none	good
EEG063	ECG	cardiac	1100	350	0	0	none	good
EEG064	EEG	eeg channel	1100	350	0	0	none	good
EEG065	EEG	eeg channel	1100	350	0	0	none	good
EEG066	EEG	eeg channel	1100	350	0	0	none	good
EEG067	EEG	eeg channel	1100	350	0	0	none	good
EEG068	EEG	eeg channel	1100	350	0	0	none	good
EEG069	EEG	eeg channel	1100	350	0	0	none	good
EEG070	EEG	eeg channel	1100	350	0	0	none	good
EEG071	EEG	eeg channel	1100	350	0	0	none	good
EEG072	EEG	eeg channel	1100	350	0	0	none	good
EEG073	EEG	eeg channel	1100	350	0	0	none	good
EEG074	EEG	eeg channel	1100	350	0	0	none	good
STI101	TRIG	digital trigger	1100	Inf	0	0	none	good
STI201	TRIG	other trigger	1100	Inf	0	0	none	good
STI301	TRIG	other trigger	1100	Inf	0	0	none	good
MISC201	MISC		1100	Inf	0	0	none	good
MISC202	MISC		1100	Inf	0	0	none	good
MISC203	MISC		1100	Inf	0	0	none	good
MISC204	MISC		1100	Inf	0	0	none	good
MISC205	MISC		1100	Inf	0	0	none	good
MISC206	MISC		1100	Inf	0	0	none	good
MISC301	MISC		1100	Inf	0	0	none	good
MISC302	MISC		1100	Inf	0	0	none	good
MISC303	MISC		1100	Inf	0	0	none	good
MISC304	MISC		1100	Inf	0	0	none	good
MISC305	MISC		1100	Inf	0	0	none	good
MISC306	MISC		1100	Inf	0	0	none	good
CHPI001	MISC		1100	Inf	0	0	none	good
CHPI002	MISC		1100	Inf	0	0	none	good
CHPI003	MISC		1100	Inf	0	0	none	good
CHPI004	MISC		1100	Inf	0	0	none	good
CHPI005	MISC		1100	Inf	0	0	none	good
CHPI006	MISC		1100	Inf	0	0	none	good
CHPI007	MISC		1100	Inf	0	0	none	good
CHPI008	MISC		1100	Inf	0	0	none	good
CHPI009	MISC		1100	Inf	0	0	none	good
